2026-06-17 08:47:54 | INFO | base:parse:27 | Parsing with Docling-style parser: data\curated_kb\dbt-emotion-regulation-skills-standard-english.pdf
2026-06-17 08:47:54 | INFO | base:parse:48 | Extracted 2 pages from data\curated_kb\dbt-emotion-regulation-skills-standard-english.pdf
2026-06-17 08:47:54 | INFO | curated_kb:ingest:33 | Curated KB ingestion complete: 4 documents
2026-06-17 08:47:54 | INFO | chunker:chunk_documents:124 | Total chunks created: 31
2026-06-17 08:47:54 | INFO | store:_load_or_create:52 | Loading existing index: curated_kb_sbert
2026-06-17 08:47:54 | INFO | store:_load_or_create:57 | Loaded 32 vectors from curated_kb_sbert
2026-06-17 08:47:54 | INFO | store:add_chunks:68 | Adding 16 chunks to curated_kb_sbert
2026-06-17 08:47:54 | INFO | store:_save:116 | Saved curated_kb_sbert: 48 vectors
2026-06-17 08:47:56 | INFO | store:_load_or_create:52 | Loading existing index: curated_kb_medcpt
2026-06-17 08:47:56 | INFO | store:_load_or_create:57 | Loaded 32 vectors from curated_kb_medcpt
2026-06-17 08:47:56 | INFO | store:add_chunks:68 | Adding 16 chunks to curated_kb_medcpt
2026-06-17 08:47:56 | INFO | store:_save:116 | Saved curated_kb_medcpt: 48 vectors
2026-06-17 08:47:56 | INFO | rag_pipeline:build_indexes:63 | Index building complete in 2.39s
2026-06-17 08:47:56 | INFO | rag_pipeline:ingest_user_data:66 | Ingesting data for user: patient_001
2026-06-17 08:47:56 | INFO | user_content:ingest_user_data:14 | Starting user content ingestion for user: patient_001
2026-06-17 08:47:56 | INFO | user_content:ingest_user_data:23 | Found 1 text files for user patient_001
2026-06-17 08:47:56 | INFO | base:parse:94 | Parsing text file: data\user_content\users\patient_001\journal_week1.txt
2026-06-17 08:47:56 | INFO | user_content:ingest_user_data:35 | User content ingestion complete for patient_001: 1 documents
2026-06-17 08:47:56 | INFO | chunker:chunk_documents:124 | Total chunks created: 2
2026-06-17 08:47:56 | INFO | store:_load_or_create:52 | Loading existing index: user_patient_001_private
